POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
893	877	+	67
894	879	+	81
895	880	-	85
896	883	-	77
897	884	+	153
898	1596	-	9
899	1896	+	3
900	891	-	77
901	1819	+	9
902	887	+	79
903	885	+	81
904	884	-	155
905	900	+	79
906	901	+	77
907	902	-	81
908	904	-	81
909	926	+	79
910	925	+	67
911	924	+	77
912	923	-	87
913	922	-	79
914	919	-	73
915	921	-	55
916	918	-	79
917	917	+	75
918	915	-	83
919	393	-	79
920	916	+	69
921	911	+	67
922	1016	-	77
923	910	+	55
924	1061	-	43
925	908	-	77
926	907	+	77
927	905	+	77
928	927	+	73
929	928	+	79
930	929	-	81
931	596	+	79
932	1212	-	41
933	930	+	81
934	931	+	151
935	212	+	93
936	931	+	153
937	931	+	155
938	932	-	79
939	933	+	83
940	1852	+	9
941	934	-	79
942	935	-	81
943	936	+	75
944	937	+	159
945	1925	+	3
946	937	+	161
947	938	-	83
948	1899	+	3
949	940	+	83
950	941	-	79
951	1373	-	31
952	942	-	77
953	994	-	79
954	943	-	77
955	944	-	103
956	945	-	87
957	411	+	79
958	30	-	125
959	30	-	127
960	32	+	79
961	986	-	77
962	987	+	79
963	989	-	77
964	1202	-	43
965	990	+	79
966	991	+	85
967	992	+	77
968	394	+	83
969	391	-	77
970	993	-	79
971	20	+	81
972	19	+	57
973	17	-	79
974	16	+	79
975	14	+	79
976	30	+	129
977	12	+	85
978	12	+	87
979	11	-	77
980	10	-	79
981	9	-	81
982	8	+	83
983	7	-	153
984	6	+	65
985	5	+	85
986	5	+	87
987	4	+	63
988	3	-	77
989	600	+	79
990	600	+	81
991	1059	-	45
992	643	-	111
993	2	+	79
994	21	-	85
995	22	-	79
996	1	+	79
997	1000	+	79
998	999	-	79
999	998	+	79
1000	595	+	83
1001	966	+	79
1002	23	-	77
1003	29	-	69
1004	418	+	81
1005	1174	-	49
1006	13	+	79
1007	951	-	77
1008	952	-	79
1009	752	-	55
1010	957	-	79
1011	1009	-	85
1012	958	-	119
1013	958	-	117
1014	960	+	113
1015	960	+	111
1016	961	-	81
1017	962	+	77
1018	964	+	97
1019	24	-	97
1020	26	+	77
1021	27	+	89
1022	28	+	91
1023	28	+	89
1024	1133	+	43
1025	1884	-	3
